source_commit,current_path,action,target_path,rationale,review_status,target_collision
401a5d01ea488ec1da96d4c9ac6db995e2ed38b2,.claude/launch.json,keep,.claude/launch.json,"Agent launch metadata; update npm command only if necessary, never duplicate plan instructions",carried_forward_ownership_proposal_verify_callers,
401a5d01ea488ec1da96d4c9ac6db995e2ed38b2,.env.example,keep,.env.example,Root install/build/config contract; maintain paths and ignored runtime boundaries,carried_forward_ownership_proposal_verify_callers,
401a5d01ea488ec1da96d4c9ac6db995e2ed38b2,.github/workflows/ci.yml,keep,.github/workflows/ci.yml,Retain current contract; no justified move or deletion from this audit.,retain_pending_import_and_path_review,
401a5d01ea488ec1da96d4c9ac6db995e2ed38b2,.gitignore,keep,.gitignore,Root install/build/config contract; maintain paths and ignored runtime boundaries,carried_forward_ownership_proposal_verify_callers,
401a5d01ea488ec1da96d4c9ac6db995e2ed38b2,CLAUDE_FEEDBACK.md,extract_unique_content_then_remove,docs/evidence/history/platform-audit-implementation-2026-09-08.md,"Keep completed fixes, verification and rollback facts; remove not-started queue; older plan authority deleted.",explicit_consolidation_no_live_deletion_authorized_by_audit,
401a5d01ea488ec1da96d4c9ac6db995e2ed38b2,CODEX_SUGGESTIONS.md,extract_unique_content_then_remove,docs/evidence/historical/platform-audit-2026-08-24-findings.md,"Keep dated observed defects and scope, linked to corrected/completed status; remove proposed backlog, phase plans and instructions; no duplicate product roadmap.",explicit_consolidation_no_live_deletion_authorized_by_audit,
401a5d01ea488ec1da96d4c9ac6db995e2ed38b2,MODEL_OPERATIONS.md,extract_unique_content_then_remove,docs/reference/model-governance.md,Merge actual protocol/endpoints/registry rules with extracted manual invariants; not an active work queue; dated frozen gates remain separately versioned contracts.,explicit_consolidation_no_live_deletion_authorized_by_audit,
401a5d01ea488ec1da96d4c9ac6db995e2ed38b2,README.md,preserve_operating_reference,README.md,Keep install/run/product orientation; point only to CLAUDE-NEXT-STEPS as work plan and to evidence/reference index; remove links that confer authority on deleted queues.,carried_forward_ownership_proposal_verify_callers,
401a5d01ea488ec1da96d4c9ac6db995e2ed38b2,chrome-extension/background.js,keep,chrome-extension/background.js,Deployable browser extension root; preserve manifest-relative assets and localhost bridge,carried_forward_ownership_proposal_verify_callers,
401a5d01ea488ec1da96d4c9ac6db995e2ed38b2,chrome-extension/content.js,keep,chrome-extension/content.js,Deployable browser extension root; preserve manifest-relative assets and localhost bridge,carried_forward_ownership_proposal_verify_callers,
401a5d01ea488ec1da96d4c9ac6db995e2ed38b2,chrome-extension/inject.js,keep,chrome-extension/inject.js,Deployable browser extension root; preserve manifest-relative assets and localhost bridge,carried_forward_ownership_proposal_verify_callers,
401a5d01ea488ec1da96d4c9ac6db995e2ed38b2,chrome-extension/manifest.json,keep,chrome-extension/manifest.json,Deployable browser extension root; preserve manifest-relative assets and localhost bridge,carried_forward_ownership_proposal_verify_callers,
401a5d01ea488ec1da96d4c9ac6db995e2ed38b2,chrome-extension/popup.html,keep,chrome-extension/popup.html,Deployable browser extension root; preserve manifest-relative assets and localhost bridge,carried_forward_ownership_proposal_verify_callers,
401a5d01ea488ec1da96d4c9ac6db995e2ed38b2,chrome-extension/popup.js,keep,chrome-extension/popup.js,Deployable browser extension root; preserve manifest-relative assets and localhost bridge,carried_forward_ownership_proposal_verify_callers,
401a5d01ea488ec1da96d4c9ac6db995e2ed38b2,client/index.html,keep,client/index.html,Keep Vite public/build configuration and served draft-capture URL stable,carried_forward_ownership_proposal_verify_callers,
401a5d01ea488ec1da96d4c9ac6db995e2ed38b2,client/postcss.config.js,keep,client/postcss.config.js,Keep Vite public/build configuration and served draft-capture URL stable,carried_forward_ownership_proposal_verify_callers,
401a5d01ea488ec1da96d4c9ac6db995e2ed38b2,client/public/draft-capture.js,keep,client/public/draft-capture.js,Keep Vite public/build configuration and served draft-capture URL stable,carried_forward_ownership_proposal_verify_callers,
401a5d01ea488ec1da96d4c9ac6db995e2ed38b2,client/src/App.tsx,keep,client/src/App.tsx,Stable client shell; navigation already shared; separate feature ownership beneath shell,carried_forward_ownership_proposal_verify_callers,
401a5d01ea488ec1da96d4c9ac6db995e2ed38b2,client/src/api.ts,keep,client/src/api.ts,Stable client shell; navigation already shared; separate feature ownership beneath shell,carried_forward_ownership_proposal_verify_callers,
401a5d01ea488ec1da96d4c9ac6db995e2ed38b2,client/src/components/DataSetupBanner.tsx,move_with_import_update,client/src/shared/ui/DataSetupBanner.tsx,Generic UI primitives; preserve imports via shim during feature move,carried_forward_ownership_proposal_verify_callers,
401a5d01ea488ec1da96d4c9ac6db995e2ed38b2,client/src/components/DevHub.tsx,move_with_import_update,client/src/features/platform/components/DevHub.tsx,Settings/health/connection platform UI,carried_forward_ownership_proposal_verify_callers,
401a5d01ea488ec1da96d4c9ac6db995e2ed38b2,client/src/components/DraftRecap.tsx,move_with_import_update,client/src/features/fantasy/components/DraftRecap.tsx,Fantasy feature default from current pages/components; verify mixed Model.tsx/PlayerDetail consumers before extracting,carried_forward_ownership_proposal_verify_callers,
401a5d01ea488ec1da96d4c9ac6db995e2ed38b2,client/src/components/EspnConnect.tsx,move_with_import_update,client/src/features/fantasy/components/EspnConnect.tsx,Fantasy feature default from current pages/components; verify mixed Model.tsx/PlayerDetail consumers before extracting,carried_forward_ownership_proposal_verify_callers,
401a5d01ea488ec1da96d4c9ac6db995e2ed38b2,client/src/components/EspnConnectGate.tsx,move_with_import_update,client/src/features/fantasy/components/EspnConnectGate.tsx,Fantasy feature default from current pages/components; verify mixed Model.tsx/PlayerDetail consumers before extracting,carried_forward_ownership_proposal_verify_callers,
401a5d01ea488ec1da96d4c9ac6db995e2ed38b2,client/src/components/FormationView.tsx,move_with_import_update,client/src/features/football/components/FormationView.tsx,Shared football entity/context presentation; betting decisions remain separate,carried_forward_ownership_proposal_verify_callers,
401a5d01ea488ec1da96d4c9ac6db995e2ed38b2,client/src/components/LeagueSwitcher.tsx,move_with_import_update,client/src/features/fantasy/components/LeagueSwitcher.tsx,Fantasy feature default from current pages/components; verify mixed Model.tsx/PlayerDetail consumers before extracting,carried_forward_ownership_proposal_verify_callers,
401a5d01ea488ec1da96d4c9ac6db995e2ed38b2,client/src/components/OffseasonPanel.tsx,move_with_import_update,client/src/features/football/components/OffseasonPanel.tsx,Shared football entity/context presentation; betting decisions remain separate,carried_forward_ownership_proposal_verify_callers,
