id,name,kind,domain,file,entry_point,predicts,inputs_tables,inputs_features,upstream_models,technique,evaluation_harness,tests,measured_results,known_failures,improvement_options,status,point_in_time_safe,reads_closing_market,last_verified
nfl_ai_replay_candidate_cache,nfl_ai_replay_candidate_cache,data_table,infra,server/db/schema/nfl-a-to-m.js,server/db/schema/nfl-a-to-m.js:83,n/a (raw storage table),derived,unknown (not found),n/a,none,n/a,unknown (not found),unmeasured,not read by the live NFL pick path; consumed only outside it by: server/services/nfl-ai-replay.js,unknown (not found),live,"partial (only a generic timestamp column, not confirmed as a receipt clock: created_at)",n/a,2026-09-16
nfl_ai_replay_reviews,nfl_ai_replay_reviews,data_table,infra,server/db/schema/nfl-a-to-m.js,server/db/schema/nfl-a-to-m.js:78,n/a (raw storage table),derived,unknown (not found),n/a,none,n/a,unknown (not found),unmeasured,not read by the live NFL pick path; consumed only outside it by: server/services/nfl-ai-replay.js,unknown (not found),live,no (no clock column of any kind),n/a,2026-09-16
nfl_ai_replay_runs,nfl_ai_replay_runs,data_table,infra,server/db/schema/nfl-a-to-m.js,server/db/schema/nfl-a-to-m.js:73,n/a (raw storage table),derived,unknown (not found),n/a,none,n/a,unknown (not found),unmeasured,not read by the live NFL pick path; consumed only outside it by: server/scripts/run-nfl-ai-replay.js;server/services/nfl-ai-replay.js;server/services/nfl-evidence.js;server/services/nfl-profitability.js,unknown (not found),live,"partial (only a generic timestamp column, not confirmed as a receipt clock: created_at)",n/a,2026-09-16
nfl_alt_spread_captures,nfl_alt_spread_captures,data_table,market,server/migrations/035_alt_spread_capture.js,server/migrations/035_alt_spread_capture.js:70,n/a (raw storage table),odds API (direct book scrapes / Odds API / SportsGameOdds),unknown (not found),n/a,none,n/a,unknown (not found),unmeasured,not read by the live NFL pick path; consumed only outside it by: server/migrations/035_alt_spread_capture.js;server/services/alt-spread-import.js,unknown (not found),live,yes (has capture/receipt clock column: captured_at),n/a,2026-09-16
nfl_alt_spread_quotes,nfl_alt_spread_quotes,data_table,market,server/migrations/035_alt_spread_capture.js,server/migrations/035_alt_spread_capture.js:104,n/a (raw storage table),odds API (direct book scrapes / Odds API / SportsGameOdds),unknown (not found),n/a,none,n/a,unknown (not found),unmeasured,not read by the live NFL pick path; consumed only outside it by: server/migrations/035_alt_spread_capture.js;server/services/alt-spread-import.js;scripts/import-alt-spreads.mjs,unknown (not found),live,yes (has capture/receipt clock column: captured_at),n/a,2026-09-16
nfl_auto_picks,nfl_auto_picks,data_table,infra,server/db/schema/nfl-a-to-m.js,server/db/schema/nfl-a-to-m.js:90,n/a (raw storage table),internal-ledger,unknown (not found),n/a,none,n/a,unknown (not found),unmeasured,in the live pick path via: server/services/nfl-auto-picks.js,unknown (not found),live,no (no clock column of any kind),n/a,2026-09-16
nfl_bet_log,nfl_bet_log,data_table,infra,server/db/schema/nfl-a-to-m.js,server/db/schema/nfl-a-to-m.js:191,n/a (raw storage table),internal-ledger,unknown (not found),n/a,none,n/a,unknown (not found),unmeasured,in the live pick path via: server/services/clv-core.js;server/services/nfl-sharp.js,unknown (not found),live,no (no clock column of any kind),n/a,2026-09-16
nfl_blind_audit_retries,nfl_blind_audit_retries,data_table,infra,server/db/schema/nfl-a-to-m.js,server/db/schema/nfl-a-to-m.js:173,n/a (raw storage table),derived,unknown (not found),n/a,none,n/a,unknown (not found),unmeasured,not read by the live NFL pick path; consumed only outside it by: server/services/nfl-blind-audit.js,unknown (not found),live,no (no clock column of any kind),n/a,2026-09-16
nfl_blind_audit_runs,nfl_blind_audit_runs,data_table,infra,server/db/schema/nfl-a-to-m.js,server/db/schema/nfl-a-to-m.js:131,n/a (raw storage table),derived,unknown (not found),n/a,none,n/a,unknown (not found),unmeasured,in the live pick path via: server/services/nfl-candidate-findings.js,unknown (not found),live,"partial (only a generic timestamp column, not confirmed as a receipt clock: created_at)",n/a,2026-09-16
nfl_blind_audit_week_performance,nfl_blind_audit_week_performance,data_table,infra,server/db/schema/nfl-a-to-m.js,server/db/schema/nfl-a-to-m.js:163,n/a (raw storage table),derived,unknown (not found),n/a,none,n/a,unknown (not found),unmeasured,not read by the live NFL pick path; consumed only outside it by: server/services/nfl-blind-audit.js,unknown (not found),live,no (no clock column of any kind),n/a,2026-09-16
nfl_blind_audit_weeks,nfl_blind_audit_weeks,data_table,infra,server/db/schema/nfl-a-to-m.js,server/db/schema/nfl-a-to-m.js:143,n/a (raw storage table),derived,unknown (not found),n/a,none,n/a,unknown (not found),unmeasured,not read by the live NFL pick path; consumed only outside it by: server/services/nfl-audit-overview.js;server/services/nfl-blind-audit.js;scripts/nfl-2022-2025-rebuild.mjs,unknown (not found),live,no (no clock column of any kind),n/a,2026-09-16
nfl_blind_input_mutations,nfl_blind_input_mutations,data_table,infra,server/db/schema/nfl-a-to-m.js,server/db/schema/nfl-a-to-m.js:157,n/a (raw storage table),derived,unknown (not found),n/a,none,n/a,unknown (not found),unmeasured,not read by the live NFL pick path; consumed only outside it by: server/betting/nfl/strategy/teaser-leg-rates.js;server/migrations/053_nfl_news_signals_versioning.js;server/services/nfl-blind-audit.js;scripts/_prepare-validation-db.mjs,unknown (not found),live,no (no clock column of any kind),n/a,2026-09-16
nfl_cached_reports,nfl_cached_reports,data_table,infra,server/db/schema/mlb-model-misc.js,server/db/schema/mlb-model-misc.js:644,n/a (raw storage table),derived,unknown (not found),n/a,none,n/a,unknown (not found),unmeasured,not read by the live NFL pick path; consumed only outside it by: server/services/report-cache.js,unknown (not found),live,no (no clock column of any kind),n/a,2026-09-16
nfl_candidate_finding_seasons,nfl_candidate_finding_seasons,data_table,infra,server/migrations/024_candidate_findings.js,server/migrations/024_candidate_findings.js:56,n/a (raw storage table),derived,unknown (not found),n/a,none,n/a,unknown (not found),unmeasured,in the live pick path via: server/services/nfl-candidate-findings.js,unknown (not found),live,no (no clock column of any kind),n/a,2026-09-16
nfl_candidate_findings,nfl_candidate_findings,data_table,infra,server/migrations/024_candidate_findings.js,server/migrations/024_candidate_findings.js:29,n/a (raw storage table),nflverse,unknown (not found),n/a,none,n/a,unknown (not found),unmeasured,in the live pick path via: server/services/nfl-candidate-findings.js,unknown (not found),live,no (no clock column of any kind),n/a,2026-09-16
