id,name,kind,lifecycle,score,file
"rulebook","Football rulebook","interpretable_prior","pregame","market_residual","server/services/nfl-expert-council.js"
"player_builder","Player-built team","roster_counterfactual","pregame","market_residual","server/services/nfl-expert-council.js"
"game_replay","Game replay simulator","joint_distribution","pregame","score_distribution","server/services/nfl-expert-council.js"
"similar_games","Similar-game finder","distance_weighted_analog","pregame","market_residual","server/services/nfl-expert-council.js"
"boosted_tree","Boosted decision trees","nonlinear_tabular","pregame","market_residual","server/services/nfl-expert-council.js"
"deep_residual","Online neural residual","deep_online","pregame","market_residual","server/services/nfl-expert-council.js"
"specialist_team","Specialist team","family_council","pregame","market_residual","server/services/nfl-expert-council.js"
"line_movement","Line-movement reader","market_microstructure","pregame","market_residual","server/services/nfl-expert-council.js"
"news_reaction","Verified-news reaction","event_evidence","pregame","market_residual","server/services/nfl-expert-council.js"
"live_updater","Live game updater","state_conditioned","in_game","brier_and_calibration","server/services/nfl-expert-council.js"
"price_shopper","Price shopper","execution","decision_time","price_and_clv","server/services/nfl-expert-council.js"
"player_opportunity","Player opportunity engine","reconciled_player_usage","pregame","volume_mae","server/services/nfl-expert-council.js"
"trench_continuity","Line and QB continuity","matchup_candidate","pregame","market_residual","server/services/nfl-expert-council.js"
"tendency_matchup","Tendency matchup","matchup_candidate","pregame","market_residual","server/services/nfl-expert-council.js"
"situational_efficiency","Situational efficiency","matchup_candidate","pregame","market_residual","server/services/nfl-expert-council.js"
"pressure_matchup","Pressure matchup","matchup_candidate","pregame","market_residual","server/services/nfl-expert-council.js"
"qb_state","Quarterback state","matchup_candidate","pregame","market_residual","server/services/nfl-expert-council.js"
"nfelo_line","nfelo pre-regression line","external_model","pregame","market_residual","server/services/nfl-expert-council.js"
"teamrankings_line","TeamRankings predictive line","external_model","pregame","market_residual","server/services/nfl-expert-council.js"
