id,name,kind,domain,file,entry_point,predicts,inputs_tables,inputs_features,upstream_models,technique,evaluation_harness,tests,measured_results,known_failures,improvement_options,status,point_in_time_safe,reads_closing_market,last_verified
player_week_engine,Player-week state estimator,forecaster,fantasy,server/services/player-week-engine.js,server/services/player-week-engine.js:159 (buildPlayerWeekEngine),"Per-player weekly fantasy point projection (structural volume x efficiency, updated by a fitted weekly ensemble); shared source for props and news-driven scenarios",player_week_usage;nfl_depth;nfl_player_week_features;game_lines,"volume,efficiency,role,news signal,QBR",projections.js:buildProjections;weekly-ensemble.js;role-changepoint.js;nfl-news-signal.js:playerWeekNewsSignal;ffopportunity.js,ridge,weekly-ensemble champion/challenger promotion (weekly_ensemble_fits),test/bottom-up-team-total.test.js;test/weekly-prediction-snapshot-mode-migration.test.js;test/model-integrity.test.js,unmeasured,"opportunity_context (injury/age adjustment) is computed and attached as metadata but applied:false; in-file comment logs it as rejected via ablation (rush MAE 21.107->21.149/21.162), not persisted to an evidence doc",wire nfl-availability.js's offense player-value per RUNBOOK section 4.1b (player-props engine's own value estimate -> availability weighting),live,yes - season/week cutoff enforced; nfl_depth gated by captured<=kickoff; nfl_player_week_features gated by week<target,no,2026-09-16
nfl_player_value_availability,Roster-wide replacement-value availability,component,injury,server/services/nfl-player-value.js,server/services/nfl-player-value.js:372 (gamePlayerAvailability); :299 (teamPlayerAvailability),"Game-margin shadow adjustment = home/away difference in estimated points lost to injury, via starter-to-replacement value",nfl_injuries;nfl_depth;nfl_snaps;nfl_player_week_features;nfl_pfr_adv;nfl_pregame_snapshot_history;game_lines,"snap share,depth rank,prior efficiency,QB EPA replacement",football-context.js:quarterbackPicture,heuristic,unknown (not found),test/model-integrity.test.js;test/nfl-ensemble-authority.test.js;test/nfl-market-identity.test.js;test/spread-family-adapters.test.js,unmeasured,"nfl_injuries read (line 302) has no modified_at/captured cutoff filter at all - reads current table state regardless of decision point; risk is labeled via evidence_state, not gated",add a cutoffAt gate on the nfl_injuries read matching nfl-availability.js's pattern,"shadow - production_eligible:false, policy states shadow-only until ablation/forward calibration",partial - depth chart gated by captured<=kickoff (safe); current-week nfl_injuries read has no time filter (unsafe),no,2026-09-16
nfl_availability_deficit,Team availability deficit (injury weighting),component,injury,server/services/nfl-availability.js,server/services/nfl-availability.js:146 (availabilityDeficit); :246 (availabilityEdge),Team-level weighted lost-snap-share deficit from injuries; feeds nfl-ensemble.js's Roster availability component and a margin-edge feature,nfl_injuries;nfl_snaps;nfl_pfr_adv,"position weight,status cost,snap share,PFR defensive production","nfl-player-value.js:normalize,nameSignature",heuristic,unified_margin_audit.py RECIPE_V2 correction-head comparison,test/nfl-availability-weighting.test.js;test/nfl-ensemble-authority.test.js;test/nfl-market-identity.test.js;test/t60-packet-sourced-board.test.js,"RECIPE_V1 MAE 9.9132 vs RECIPE_V2 (+availability) MAE 9.9428, +0.030 CI[-0.006,0.071], not significant - LATEST-PLAN.md section ""RESULT - injuries + PFR defense through the correction head, September 15-16, 2026: no improvement, honestly measured""","cutoffAt param exists but every found production caller (nfl-ensemble.js:1253,1313; nfl-replay.js:535 historical walk-forward/calibrate) omits it, reading live/current nfl_injuries state even during historical replay",thread cutoffAt through nfl-ensemble.js and nfl-replay.js's calibrate()/backtest loops,research_only,"partial - cutoff param exists, no found caller uses it",no,2026-09-16
contingency_weekly_availability,Weekly active-probability model,forecaster,injury,server/services/contingency.js,server/services/contingency.js:114 (weeklyAvailability),Pregame active probability [0.01-0.995] for a player in a given week (durability prior updated by injury/practice report text),player_week_usage;players;player_metrics;nfl_injuries,"durability prior,report status,practice status",contingency.js:availability,heuristic,"trailing-3 baseline vs actual weekly opportunity, 326 Questionable player-weeks, 2025",test/role-scenario-engine.test.js;test/model-integrity.test.js,"MAE 4.748 -> 3.71-3.66 vs no-discount baseline, paired bootstrap p<0.001; recalibrated center MAE 3.713->3.658, bias +0.497->-0.426 - LATEST-PLAN.md section ""GAP ANALYSIS - research vs. current model vs. this plan, September 16, 2026""","target is fantasy weekly-opportunity, not game margin - the game-side availabilityDeficit does not reuse this validated discount (RUNBOOK section 4.1b cross-wiring item); current-week nfl_injuries read has no modified_at cutoff at all (line 118), unlike nfl-availability.js's optional cutoffAt",wire into availabilityDeficit per RUNBOOK section 4.1b; add a modified_at cutoff guard,live - actively consumed by trade-engine/season-sim/role-scenario routes,no - nfl_injuries read for the target week has no time filter,no,2026-09-16
contingency_cascades,Handcuff cascade and contingent value,component,fantasy,server/services/contingency.js,server/services/contingency.js:165 (cascades); :278 (handcuffValue),"Which teammate absorbs a starter's usage when he sits (beneficiary share-gain), and the resulting contingent fantasy value",player_week_usage;players,"with/without-starter usage split, shrinkage",contingency.js:availability,heuristic,unknown (not found),test/migration-027-populated-upgrade.test.js,unmeasured,unknown (not found),none noted,live,"yes - season-level retrospective aggregate, through=season-1 default",no,2026-09-16
nfl_roster_strength,Team roster-strength composite,component,roster,server/services/nfl-roster-strength.js,server/services/nfl-roster-strength.js:312 (teamRosterStrength),"Composite 35-95 roster-quality rating per team-week (starter/depth/fragility, per-unit scores)",nfl_depth;nfl_snaps;nfl_player_week_features;nfl_external_player_grades;nfl_rookie_evidence;player_accolades;roster_players;nfl_player_roster_events;game_lines,"depth-chart prior,participation,performance,licensed PFF grade (z-scored),rookie/coach/scheme context",nfl-rookies.js:evidenceAdjustedRookiePrior;nfl-coaches.js:coachChanges;nfl-scheme.js:schemeChange,heuristic,unknown (not found),test/spread-family-adapters.test.js;test/model-integrity.test.js;test/nfl-roster-strength-pff-normalization.test.js,unmeasured,"eight blend constants (0.5/0.23/0.17/0.10, decay/split ratios) chosen by feel, none fit - LATEST-PLAN.md section ""MODEL INVENTORY AND ORGANIZATION"" (September 15, 2026 evening)",fit the blend weights instead of hand-setting them,"retired - retired from the live ensemble blend, R-squared=0.994 redundant with the availability component per LATEST-PLAN.md",yes - gameCutoff() used consistently across all sub-reads,no,2026-09-16
nfl_postgame_injury_carryover,In-game injury carryover,component,injury,server/services/nfl-postgame-truth.js,server/services/nfl-postgame-truth.js:561 (gameInjuryCarryover),Candidate game-margin adjustment from injuries observed exiting or returning in a prior game (carryover into the next game),nfl_postgame_truth_packets;nfl_injuries;game_lines,"prior in-game exit/return state,official report,verified news override",nfl-news-signal.js:playerNewsSignal,heuristic,unknown (not found),unknown (not found),unmeasured,"target-week nfl_injuries read (carryoverForTeam, line 507) has no modified_at cutoff, unlike the prior-week 'Out' lookback (line 537-538) which is correctly gated",add a modified_at gate to the target-week nfl_injuries read,"shadow - production_eligible:false, reaches nfl-expert-council.js/nfl-unified-engine.js display only, not the auto-pick path",partial - news-signal and prior-week reads are cutoff-safe; target-week nfl_injuries read is not,no,2026-09-16
nfl_qb_quality,Starting-QB quality signal,component,roster,server/services/nfl-qb-quality.js,server/services/nfl-qb-quality.js:140 (teamStartingQbQuality),Starting QB's own trailing QBR average for a team-week (never a team or league average),nfl_depth;nfl_qbr_weekly,"starter identity (pos_rank=1),trailing QBR (window=8, min 5 qualifying plays)","nfl-player-value.js:normalize,nameSignature",lookup,market_correction.py / unified_margin_audit.py RECIPE_V3,test/nfl-qb-quality.test.js,"V3 (+QB QBR) MAE 9.9583 vs V2 9.9428, +0.016 CI[-0.011,0.043], not significant; V3 vs V1 not significant after Bonferroni correction - LATEST-PLAN.md section ""RESULT - starting-QB-quality through the correction head (RECIPE_V3), September 16, 2026: also no improvement, and the full stack is measurably worse than doing nothing""",none identified - cleanest point-in-time discipline of the injury/player cluster,none noted,"research_only - tested as a correction-head challenger, not promoted","yes - starter identity from current-week nfl_depth (ingestion is the boundary), QBR history strictly earlier weeks",no,2026-09-16
nfl_rookies_prior,Rookie opportunity prior,component,roster,server/services/nfl-rookies.js,server/services/nfl-rookies.js:128 (rookieOpportunityPrior); :301 (fitRookieEvidenceModel); :352 (evidenceAdjustedRookiePrior),Preseason opportunity-per-game prior for a rookie by draft band/position (shrunk toward observed usage); evidence-adjusted variant folds in college/combine/role features via a ridge fit when chronologically validated,nfl_rookie_evidence;player_week_usage;nfl_depth,"draft round/pick,college production,opponent strength,combine,preseason role,depth rank",nfl-specialists.js:ridgeFit,heuristic,fitRookieEvidenceModel's own chronological holdout (leave-latest-draft-class-out),unknown (not found),unmeasured,"depends on depthRankFor (see nfl_rookies_depth_rank row) for its depth-chart multiplier, which is not point-in-time safe",none noted,"live (prior) / research_only (evidence-adjusted ridge variant, gated on validated=true)",partial - evidence/profile reads use an explicit cutoff param; depthRank input comes from the unsafe depthRankFor,no,2026-09-16
nfl_rookies_depth_rank,Rookie depth-chart rank lookup,lookup,roster,server/services/nfl-rookies.js,server/services/nfl-rookies.js:153 (depthRankFor),"Latest nfl_depth.pos_rank at or before a season/week, used as a depth-chart-based opportunity multiplier",nfl_depth,pos_rank,none,lookup,none,unknown (not found),unmeasured,"selects pos_rank with week<=? and no reference to nfl_depth.captured - can read a depth chart captured during/after the week being predicted; with 2025's 8,005 duplicate rows (0 in 2023/2024) it picks an arbitrary one of them - LATEST-PLAN.md section ""FINAL ORDER #3 - the point-in-time guard, and what it refuses (September 16, 2026)""",add a captured<=kickoff filter matching nfl-player-value.js's depthChart() pattern,live,"no - no captured-clock filter, confirmed present in current code by direct read (lines 153-159)",no,2026-09-16
