id,name,kind,domain,file,entry_point,predicts,inputs_tables,inputs_features,upstream_models,technique,evaluation_harness,tests,measured_results,known_failures,improvement_options,status,point_in_time_safe,reads_closing_market,last_verified
availability,Injury availability,component,spread,server/services/nfl-ensemble.js,server/services/nfl-ensemble.js:674,"margin (home-away unavailable playing-time share, calibrated)",in-memory context object `c` built by ensembleLine() from game_lines/nfl_team_week_features/etc; see inputs_features,"official injury report; c.avail map; optional c.cal.availability {b0,b1} calibration",none directly; consumed by nfl-ensemble.js ensembleLine()/jointComponentWeights/jointResidualFit,ols,fitEnsemble() residual gate + nfl-replay.js walk-forward (server/services/nfl-ensemble.js:~1900),unknown (not found),"unmeasured (component-level p-value not isolated in evidence; family-level: 0/848 fit artifacts ever passed the residual gate, docs/betting-model/plans/LATEST-PLAN.md — Section B (Models — are they sharp?))",none found,unknown (not found),challenger,"partial — context c is built per (season,week) from prior data by ensembleLine's own cutoff handling; not independently verified per component",no,2026-09-16
roster_strength,Roster strength and depth,component,spread,server/services/nfl-ensemble.js,server/services/nfl-ensemble.js:699,margin (home-away roster_score * 0.32 + hfa),in-memory context object `c` built by ensembleLine() from game_lines/nfl_team_week_features/etc; see inputs_features,"c.roster map (depth-chart rating from prior snaps, player efficiency, rookies, optional PFF grades)",none directly; consumed by nfl-ensemble.js ensembleLine()/jointComponentWeights/jointResidualFit,rule,fitEnsemble() residual gate + nfl-replay.js walk-forward (server/services/nfl-ensemble.js:~1900),unknown (not found),"unmeasured (component-level p-value not isolated in evidence; family-level: 0/848 fit artifacts ever passed the residual gate, docs/betting-model/plans/LATEST-PLAN.md — Section B (Models — are they sharp?))",none found,unknown (not found),challenger,"partial — context c is built per (season,week) from prior data by ensembleLine's own cutoff handling; not independently verified per component",no,2026-09-16
massey,Massey least squares,component,spread,server/services/nfl-ensemble.js,server/services/nfl-ensemble.js:711,margin (home-away Massey rating + hfa),in-memory context object `c` built by ensembleLine() from game_lines/nfl_team_week_features/etc; see inputs_features,c.massey map (least-squares ratings solved elsewhere in file),none directly; consumed by nfl-ensemble.js ensembleLine()/jointComponentWeights/jointResidualFit,ols,fitEnsemble() residual gate + nfl-replay.js walk-forward (server/services/nfl-ensemble.js:~1900),unknown (not found),"unmeasured (component-level p-value not isolated in evidence; family-level: 0/848 fit artifacts ever passed the residual gate, docs/betting-model/plans/LATEST-PLAN.md — Section B (Models — are they sharp?))",none found,unknown (not found),challenger,"partial — context c is built per (season,week) from prior data by ensembleLine's own cutoff handling; not independently verified per component",no,2026-09-16
teamrankings_predictive,TeamRankings predictive rating,component,spread,server/services/nfl-ensemble.js,server/services/nfl-ensemble.js:720,margin (home-away TeamRankings rating diff + hfa),in-memory context object `c` built by ensembleLine() from game_lines/nfl_team_week_features/etc; see inputs_features,"teamrankingsRatingDiff(season,week,home) via nfl-teamrankings-lookup.js JSON export",none directly; consumed by nfl-ensemble.js ensembleLine()/jointComponentWeights/jointResidualFit,lookup,fitEnsemble() residual gate + nfl-replay.js walk-forward (server/services/nfl-ensemble.js:~1900),unknown (not found),"unmeasured (component-level p-value not isolated in evidence; family-level: 0/848 fit artifacts ever passed the residual gate, docs/betting-model/plans/LATEST-PLAN.md — Section B (Models — are they sharp?))",none found,unknown (not found),challenger,"partial — context c is built per (season,week) from prior data by ensembleLine's own cutoff handling; not independently verified per component",no,2026-09-16
nfelo_rating,nfelo pregame rating (nfelo.app),component,spread,server/services/nfl-ensemble.js,server/services/nfl-ensemble.js:734,"margin ((nfelo_diff + hfa_mod)/25, no additional c.hfa add — avoids double-counting)",in-memory context object `c` built by ensembleLine() from game_lines/nfl_team_week_features/etc; see inputs_features,"c.nfelo.nfelo_diff, c.nfelo.hfa_mod via nfelo.js sync",none directly; consumed by nfl-ensemble.js ensembleLine()/jointComponentWeights/jointResidualFit,lookup,fitEnsemble() residual gate + nfl-replay.js walk-forward (server/services/nfl-ensemble.js:~1900),unknown (not found),"unmeasured (component-level p-value not isolated in evidence; family-level: 0/848 fit artifacts ever passed the residual gate, docs/betting-model/plans/LATEST-PLAN.md — Section B (Models — are they sharp?))",none found,unknown (not found),challenger,"partial — context c is built per (season,week) from prior data by ensembleLine's own cutoff handling; not independently verified per component",no,2026-09-16
nfelo_qb_adjustment,nfelo 538-schema QB value adjustment,component,spread,server/services/nfl-ensemble.js,server/services/nfl-ensemble.js:750,margin (qb_adj_diff/25),in-memory context object `c` built by ensembleLine() from game_lines/nfl_team_week_features/etc; see inputs_features,c.nfelo.qb_adj_diff via nfelo.js,none directly; consumed by nfl-ensemble.js ensembleLine()/jointComponentWeights/jointResidualFit,lookup,fitEnsemble() residual gate + nfl-replay.js walk-forward (server/services/nfl-ensemble.js:~1900),unknown (not found),"unmeasured (component-level p-value not isolated in evidence; family-level: 0/848 fit artifacts ever passed the residual gate, docs/betting-model/plans/LATEST-PLAN.md — Section B (Models — are they sharp?))",none found,unknown (not found),challenger,"partial — context c is built per (season,week) from prior data by ensembleLine's own cutoff handling; not independently verified per component",no,2026-09-16
colley,Colley (wins only),component,spread,server/services/nfl-ensemble.js,server/services/nfl-ensemble.js:765,margin ((home-away Colley rating)*55 + hfa),in-memory context object `c` built by ensembleLine() from game_lines/nfl_team_week_features/etc; see inputs_features,c.colley map (wins-only rating solved elsewhere in file),none directly; consumed by nfl-ensemble.js ensembleLine()/jointComponentWeights/jointResidualFit,rule,fitEnsemble() residual gate + nfl-replay.js walk-forward (server/services/nfl-ensemble.js:~1900),unknown (not found),"unmeasured (component-level p-value not isolated in evidence; family-level: 0/848 fit artifacts ever passed the residual gate, docs/betting-model/plans/LATEST-PLAN.md — Section B (Models — are they sharp?))",none found,unknown (not found),live,"partial — context c is built per (season,week) from prior data by ensembleLine's own cutoff handling; not independently verified per component",no,2026-09-16
pythagorean,Pythagenport expectation,component,spread,server/services/nfl-ensemble.js,server/services/nfl-ensemble.js:770,"margin ((home-away Pythagenport win expectation, exponent 2.37)*50 + hfa)",in-memory context object `c` built by ensembleLine() from game_lines/nfl_team_week_features/etc; see inputs_features,c.agg team pf/pa aggregates,none directly; consumed by nfl-ensemble.js ensembleLine()/jointComponentWeights/jointResidualFit,rule,fitEnsemble() residual gate + nfl-replay.js walk-forward (server/services/nfl-ensemble.js:~1900),unknown (not found),"raw p=0.3827 (one-at-a-time residual diagnostic), Holm-corrected to 1.0, family_size=32 pass_count=0 (docs/evidence/2026-09-16/residual-gate-holm-correction.txt)",R²=0.998 vs point_diff (r=0.982) in market_residual space; retired from live blend 2026-09-16 (docs/betting-model/plans/LATEST-PLAN.md — Effective rank result),unknown (not found),challenger,"partial — context c is built per (season,week) from prior data by ensembleLine's own cutoff handling; not independently verified per component",no,2026-09-16
point_diff,Raw point differential,component,spread,server/services/nfl-ensemble.js,server/services/nfl-ensemble.js:787,margin (home-away avg margin/game + hfa),in-memory context object `c` built by ensembleLine() from game_lines/nfl_team_week_features/etc; see inputs_features,c.agg team pf/pa aggregates,none directly; consumed by nfl-ensemble.js ensembleLine()/jointComponentWeights/jointResidualFit,rule,fitEnsemble() residual gate + nfl-replay.js walk-forward (server/services/nfl-ensemble.js:~1900),unknown (not found),"unmeasured (component-level p-value not isolated in evidence; family-level: 0/848 fit artifacts ever passed the residual gate, docs/betting-model/plans/LATEST-PLAN.md — Section B (Models — are they sharp?))",R²=0.999 vs turnover_regressed (r=0.997); retired from live blend 2026-09-16 (docs/betting-model/plans/LATEST-PLAN.md — Effective rank result),unknown (not found),challenger,"partial — context c is built per (season,week) from prior data by ensembleLine's own cutoff handling; not independently verified per component",no,2026-09-16
melo,Margin-dependent Elo,component,spread,server/services/nfl-ensemble.js,server/services/nfl-ensemble.js:799,margin ((home-away melo rating)/25 + hfa),in-memory context object `c` built by ensembleLine() from game_lines/nfl_team_week_features/etc; see inputs_features,c.melo map (margin-weighted Elo solved elsewhere in file),none directly; consumed by nfl-ensemble.js ensembleLine()/jointComponentWeights/jointResidualFit,elo,fitEnsemble() residual gate + nfl-replay.js walk-forward (server/services/nfl-ensemble.js:~1900),unknown (not found),"raw p=0.4438 (one-at-a-time residual diagnostic), Holm-corrected to 1.0, family_size=32 pass_count=0 (docs/evidence/2026-09-16/residual-gate-holm-correction.txt)",none found,unknown (not found),live,"partial — context c is built per (season,week) from prior data by ensembleLine's own cutoff handling; not independently verified per component",no,2026-09-16
