id,name,kind,domain,file,entry_point,predicts,inputs_tables,inputs_features,upstream_models,technique,evaluation_harness,tests,measured_results,known_failures,improvement_options,status,point_in_time_safe,reads_closing_market,last_verified,entry_note,source_file
"devig","American-Odds De-vigging (Proportional + Shin)","calibration","market","server/services/nfl-devig.js","server/services/nfl-devig.js:110","Fair (de-vigged) win probability for one side of a two-outcome priced market","none (pure function; odds passed as arguments)","American odds pair (oddsA, oddsB)","none imported","rule","none found","unknown (not found)","unmeasured","Only 2 of 7 devig methods from the catalog implemented, confirming LATEST-PLAN item 24/catalog item 18: proportionalDevig (line 50) and shinDevig (line 66), exposed via shinNoVig (line 110), proportionalNoVig (line 115), default alias noVig = shinNoVig (line 120). No power, additive, balanced-book, logarithmic, or odds-ratio method present — martineastwood's full 7-method dispatcher not ported.","Add powerDevig() and N-outcome Shin, then port the 7-method dispatcher (FINAL ORDER item 24).","live (imported and used as the default noVig by nfl-cover-calibration.js)","yes (stateless pure function, cannot itself leak future information)","n/a (pure utility; operates on whatever odds are passed in)","2026-09-16","shinNoVig)","rows-spread-forecasters.csv"
"nfl_prop_td_calibration","Shipped anytime-TD calibration head","calibration","props","server/services/nfl-prop-calibration.js","server/services/nfl-prop-calibration.js:176","Calibrated anytime-TD / 2+TD probability from the raw simulated probability (chronologically fit, position-scoped)","prop replay rows (walk-forward output, not raw DB tables directly)","raw simulated probability,position","nfl-props.js:propReplayRows","logistic","auditTdCalibration/walkForwardTdCalibration","unknown (not found directly; exercised indirectly via nfl-prop-player-heads.test.js)","shipped head pooled Brier 0.19333 (anytime TD, n=7871) / 0.06239 (2+TD, n=7871), 2023-2025 - docs/evidence/historical/PROPS_PLAYER_ENGINES.md","none identified in the shipped head itself","none noted","live","yes - chronological fit/discovery/validation split by season","no","2026-09-16","applyTdCalibrator); :374 (activeTdCalibration); :381 (calibrateAnytimeTd)","rows-player-news-live.csv"
"cover_calibration","Spread Cover Probability Calibration","calibration","spread","server/services/nfl-cover-calibration.js","server/services/nfl-cover-calibration.js:389","Calibrated probability (0-1) that a picked spread side covers, as a market-anchored logistic offset of the no-vig market probability","nfl_cover_calibrations (read via latestCoverCalibration, written via buildCoverCalibration)","edge_points, market_probability (via shinNoVig), outcome — sourced from replaySeason() bets","nfl-replay.js (replaySeason), nfl-forecast-identity.js, nfl-devig.js (shinNoVig)","logistic","replaySeason() walk-forward","unknown (not found)","No single fixed headline number hardcoded (computed live); file documents a prior finding: with lambda hardcoded at 1 (no shrinkage), 'the walk-forward result was a model very slightly WORSE than the line it was anchored to' (lines 23-26).","buildCoverCalibration throws if modelOptions.includeChallengers is set: 'replaySeason does not apply the board's neural override. Candidate dynamic controllers require per-row graph provenance before this builder can fit them.' (lines 277-279).","unknown (not found)","live (gated: calibratedCoverProbability returns null unless fit.metrics.forward_gate_passed and forecast-identity match, lines 389-413)","yes — 'Cutoff-safe: only seasons strictly before the evaluation season are ever seen' (line 61); train/test split enforces s.season < season throughout","yes (market_probability = noVig(american_price, opposite_price) via shinNoVig)","2026-09-16","calibratedCoverProbability)","rows-spread-forecasters.csv"
"total_calibration","Totals (Over/Under) Probability Calibration","calibration","total","server/services/nfl-total-calibration.js","server/services/nfl-total-calibration.js:380","Calibrated probability (0-1) that a picked total side (over/under) wins, as a market-anchored logistic offset of the no-vig market probability","nfl_total_calibrations (read via latestTotalCalibration, written via buildTotalCalibration)","edge_points, market_probability, outcome — sourced from nestedEvaluationRows() (nfl-market.js): g.total, g.total_over_odds, g.total_under_odds, r.predTotal, r.actualTotal","nfl-market.js (nestedEvaluationRows). Does NOT import nfl-devig.js.","logistic","walk-forward vs nfl-market.js nestedEvaluationRows()","unknown (not found)","VERIFIED RESULT (2026-09-04, 16 seasons 2010-2025, n=4317 settled non-push totals with real priced odds, all cutoff-safe): no lambda beats the no-vig market; edge-predicts-outcome test indistinguishable from zero (z≈-1.04, decile buckets flat 46-54%); predicted_total correlates with real final total r≈0.18 but with the market line itself r≈0.63, and the line alone is a better predictor of outcome (r≈0.31 vs 0.18) (lines 271-296).","Line 37 confirms LATEST-PLAN FINAL ORDER item 7 is still unfixed: file defines its own naive proportional de-vig locally instead of importing shinNoVig from nfl-devig.js. Exact code lines 36-40: implied = o => o>0 ? 100/(o+100) : |o|/(|o|+100); noVig = (a,b) => pa/(pa+pb). This is plain proportional split, unlike nfl-cover-calibration.js which uses shinNoVig. Self-documented: forward_gate_passed 'is expected — and confirmed — to come back false', module designed to always abstain live (lines 291-295).","Replace naive proportional noVig at line 37 with shinNoVig import (FINAL ORDER item 7).","shadow (computed/stored every run but self-documented to always fail its own gate)","yes — same train/test season-strict-inequality pattern as cover_calibration (lines 304-313)","yes (market_probability from naive-proportional noVig(total_over_odds, total_under_odds), not Shin — see known_failures)","2026-09-16","calibratedTotalProbability)","rows-spread-forecasters.csv"
"draft_rank_targets","Draft-pick recommendation ranker","combiner","fantasy","server/services/draft-assist.js","server/services/draft-assist.js:605","Ranked draft-pick recommendation score combining VORP, need, scarcity/tier-cliff, handcuff/rookie bonuses, and a historical realization multiplier","drafts;draft_picks;players;player_accolades","VORP,roster need,tier cliff,handcuff/rookie bonuses,realization multiplier","draft-assist.js:goneBy,expectedBest,realizationFor;projections.js:buildProjections;nfl-offseason-change.js:offseasonContextFor","heuristic","none found (a declined alternative signal, boom-bust.js#predictRankGap, is noted in-file as tested and rejected)","test/draft-assist-bestball.test.js","unmeasured","realizationFor's shrink constant (n/30) is hand-set, not fitted via shrinkage-fit.js - flagged in LATEST-PLAN.md's F15 finding (~lines 1229,1975)","route realizationFor's shrink through shrinkage-fit.js","live","n/a - live draft-board tool, not a historical replay","no - ESPN's own projected_points used as a comparison proxy","2026-09-16","rankTargets); :324 (boardState); :991 (realizationFor)","rows-player-news-live.csv"
"direct_cover_family","Direct cover family adapter","combiner","spread","server/betting/nfl/forecast/spread-family-adapters.js","server/betting/nfl/forecast/spread-family-adapters.js:447","spread-cover classification (intended); currently always abstains","none (stub)","none (stub)","research/tree_lab.py (produces a joblib classifier artifact, never loaded here)","none","unknown (not found)","unknown (not found)","unmeasured","CLEARLY STUBBED, not connected: research/tree_lab.py trains logistic/LightGBM cover classifiers and writes a joblib artifact, but no Node-side consumer loads it; observed always false, missing_reason='not_yet_connected' (adapter's own doc comment, file lines ~429-460).","Build the Python-artifact-to-Node bridge per docs §6.4/§10.3 (cited in adapter comment).","stub","n/a — produces no output","n/a","2026-09-16","directCoverFamilyForecast)","rows-spread-forecasters.csv"
"ensemble_family","Ensemble family adapter","combiner","spread","server/betting/nfl/forecast/spread-family-adapters.js","server/betting/nfl/forecast/spread-family-adapters.js:206","margin (projected_margin from ensembleLine, blendMode:'raw') + cover probability distribution","game_lines (via ensembleLine/marketReference)","line.ensemble.projected_margin, market_spread, distribution fields","server/services/nfl-ensemble.js ensembleLine() (blendMode:'raw', includeChallengers:false)","ridge (inherits nfl-ensemble.js's joint fit)","unknown (not found)","unknown (not found)","unmeasured (adapter itself not separately scored)","none found","unknown (not found)","live","yes — marketReference/ensembleLine take season/week/cutoff","yes (line.ensemble.market_spread)","2026-09-16","ensembleFamilyForecast)","rows-spread-forecasters.csv"
"forecast_combination","Forecast Combination (DM-gated)","combiner","spread","server/services/forecast-combination.js","server/services/forecast-combination.js:847","A combined point forecast of home margin from multiple candidate combination methods (equal-weight, inverse-MSE, OLS/ridge on a reduced basis, constrained least squares, replayed incumbent market-residual blend), each walk-forward evaluated and DM-gated","caller-supplied records (no direct DB query in this file), sourced elsewhere","records[].margins{} (per-component margin forecasts), market_margin, actual_margin, week_key/game_id; greedyBasis reduced component set","forecast-comparison.js (dieboldMariano, naivePairedT), nfl-ensemble.js (completeWeekSplit), nfl-ensemble-rank.js (greedyBasis)","ols","internal DM/HLN gate (compareMethods:1077, significanceTable:1109)","test/forecast-combination.test.js (asserts this reproduces fitEnsemble's own slopes/weights/gate decisions on a fixture)","unmeasured in production — header states this module 'fits nothing into production... is not wired into ensembleLine'; every stored result is a forecast-combination-fixture-*.json (docs/evidence/2026-09-12/forecast-combination-fixture-{weak-market,oracle-market}.json)","KNOWN BIAS stated in-file: error distribution comes from fitted residuals on the TRAINING block (in-sample), so cover probabilities come out overconfident; needs an inner cross-validation fold inside each training block.","Add inner CV fold inside each training block to de-bias cover probabilities (per file's own known-bias note).","research_only (fixture-only; not wired into ensembleLine; only non-test importer is server/services/joint-score-backtest.js, itself measurement-only)","yes — explicit walk-forward design: per-cutoff before() strict-inequality split, assertNoSameGameStraddle leak check, content-addressed split manifests","yes (candidate records/methods carry and consume market_margin, e.g. fitIncumbentMarketResidual)","2026-09-16","walkForwardCombination)","rows-spread-forecasters.csv"
"joint_component_weights","Joint component weights (raw blend)","combiner","spread","server/services/nfl-ensemble.js","server/services/nfl-ensemble.js:1744","convex blend weights (>=0, sum to 1) over eligible components' raw margin/total forecasts","rows of prior fit records (per game/component), UNK exact table","per-component margin/total predictions (key/actualKey), week_key for chronological lambda selection","all 35 MODELS entries in nfl-ensemble.js","ridge","chooseRawBlendLambda() chronological split inside jointComponentWeights itself","unknown (not found)","unmeasured (no headline number found specific to this function; distinct from jointResidualFit)","none found","unknown (not found)","live","yes — lambda chosen via chronological (week_key-ordered) split","n/a","2026-09-16","","rows-spread-forecasters.csv"
"joint_residual_fit","Joint residual fit (market_residual served path)","combiner","spread","server/services/nfl-ensemble.js","server/services/nfl-ensemble.js:1822","regression coefficients on each component's (margin_i - market_margin) departure, jointly, to predict (actual_margin - market_margin)","rows with margins{}, market_margin, actual_margin, week_key","every eligible component's departure from market_margin","all 35 MODELS entries in nfl-ensemble.js","ridge","internal fit-block/score-block chronological split (completeWeekSplit) + dieboldMariano vs market baseline","unknown (not found)","rmse_gain=-0.008 (worse than market), dm_p=0.9415 (~0.94), n=749 out-of-fold (docs/betting-model/plans/LATEST-PLAN.md — FINAL ORDER (September 16, 2026), item 1)","Gate not cleared — served market_residual line remains marketMargin verbatim (docs/betting-model/plans/LATEST-PLAN.md — FINAL ORDER (September 16, 2026), item 1).","unknown (not found)","live","yes — coefficients fit on earlier block only, scored out-of-fold on later block (completeWeekSplit)","yes (fits against market_margin departure)","2026-09-16","","rows-spread-forecasters.csv"
